TARGETID,TARGET_RA,TARGET_DEC,r_mag,FEH,FEH_ERR,VRAD,VRAD_ERR,stream_prob,stream_prob_em,stream_prob_ep
2305843028914349784,353.56322465416804,0.2897305374775291,17.29366,-3.3114105283046205,0.06851011864299628,-149.72629638922194,3.885121114664616,0.9970887059880935,0.9882765117927275,0.9988497651512935
2305843028889183198,353.47032138963755,-0.9700044785281662,14.732384,-3.4162328147572234,0.03233940095239677,-137.42664568942257,1.2931310260602042,0.999626220988155,0.9989471909500109,0.9998272627123751
2305843028939515440,354.34848937400807,3.105724317761955,17.961128,-3.059405788432307,0.1487347857809489,-184.51320116297325,5.872817356503938,0.0011796006028360812,2.7658281513814997e-05,0.02483682173484627
2305843030579483942,354.7701573961331,30.250984731091044,15.423884,-3.359024914508037,0.030874891478995345,-183.75380373816245,1.2971138241533442,0.9994690911246926,0.9976911869577921,0.9997650467553733
39628102187352197,350.7777049548869,12.937267393747144,18.327631,-3.023253415534172,0.09212817201881918,-191.30297451545314,3.6274345105932113,0.006042946106238493,7.153095140955478e-05,0.5177878585251963
39628125734178620,353.5295547051377,14.051241210329053,18.013107,-2.978408797035212,0.12697198680499705,-175.50324526378031,4.190645608577019,0.5992392632266099,0.06603035729989676,0.9404501526409378
39627651807185073,349.30774205656905,-5.838131834061791,18.641657,-3.053358760930596,0.13422494699081838,-139.04228129404538,6.038454501600217,0.9746095590480586,0.9481821637906458,0.9866176948771642
39627760448054832,352.993718336094,-1.34662388845367,17.238283,-3.420938509555063,0.07528500133412172,-136.72573503128064,2.786303041034439,0.9954952219828843,0.9752747233693979,0.9988619125663861
39627748368456193,352.9329734332078,-1.7231343304352484,18.386604,-3.6026192329324322,0.1418839661948151,-130.6236090324756,5.661280208485115,0.9970744724397572,0.992936815728373,0.9985835714314406
2780908667011078,353.4630423094495,-1.9264458414456147,19.246174,-2.9047182032672425,0.19565703516146712,-122.2177803266976,9.732546461918162,0.7535662511797661,0.48878331195754887,0.8859741051272148
39627784569489981,350.5715218644225,-0.22854656960209146,16.978966,-3.8081349030296687,0.04955597620508056,-156.07967671342712,1.7445785135895646,0.9990877136661195,0.9959760255268019,0.9997014232724685
2780866333900802,349.075971473117,-3.8309282647146037,19.044334,-3.037960674410284,0.17234879575466056,-138.2781538495416,7.783932849140697,0.8793442869205488,0.7524549138432369,0.9382781072784956
39627706052120476,350.18772713653505,-3.546328751737462,17.799568,-3.244900055151782,0.14061128400600453,-143.02518223590909,3.395891355770352,0.9979470906994626,0.9958933070748067,0.9988704886843079
39627766429126441,349.3514101867997,-0.8967513686073303,18.121042,-2.94118280597356,0.17225806280437442,-150.3949367983713,4.860473995120371,0.5354212930128402,0.14290105667355626,0.8452130410326868
39636465939909472,348.10081446137934,-5.120075550500713,18.646624,-3.09062178502821,0.1872924014457745,-139.9976468608707,6.814235312213372,0.9799770604092677,0.9630270137852872,0.9884611045987765
39636447866655310,347.4175047130094,-5.745597755675041,16.822897,-3.4044182570516766,0.03952779059160967,-146.03698628964673,1.5479927180162882,0.9994038864937611,0.9982670780741558,0.9997036149761186
39636459925274665,348.4688966072023,-5.172009037573183,18.599482,-3.1043659243016313,0.24619166042726828,-156.91591223616217,7.952727216997869,0.9014667372826094,0.7251296563292953,0.9582702515439522
39627706106643344,353.2814264998895,-3.4198887871780688,18.037985,-2.918844040440412,0.12940013198882383,-124.4590351861539,4.86050501536946,0.8825957059211857,0.5818277836426378,0.9614551649026134
39627700075236735,353.42493113901975,-3.6697691661735186,17.464952,-3.421322068773989,0.06917056769748327,-137.16395820534348,2.442497008237586,0.9994899972567004,0.9988913863405968,0.9997194728124379
2780981031337987,346.5320630266603,0.9160679166207845,19.096672,-2.7560593701354357,0.11805223662957023,-166.0677380884808,8.242675248063998,0.002016212084571765,0.0002078142764284752,0.014747210741696744
39627850998876463,350.1429639047302,2.5838150845034082,16.918419,-3.263452341644922,0.05316329218792383,-163.26548856890318,2.1684010303842016,0.9948113467255344,0.9677618194616388,0.9987427897486767
39628478030545065,354.8314450763645,29.799050471831645,17.488749,-3.5389533368759674,0.02403604314361896,-184.7697384761383,2.5674340625716257,0.9995275642078674,0.9986192867768107,0.9997754639591028
39628472858970186,0.4171479910315085,29.69984263719617,18.543861,-2.7455614462322453,0.138993269074146,-149.59190780993168,7.340452065259089,0.1343515714917028,0.006083088777352178,0.7243012601113116
39628430295172938,354.73863713722926,27.47703092171745,18.17714,-3.5361857267216976,0.03914672947011428,-194.51673282083317,4.608438153282061,0.9988904050819409,0.9971882552051229,0.9995182264694922
39628456937392106,354.7257603261615,28.654641692630722,17.504196,-3.0582340147893388,0.07276959583919626,-206.10116361770375,2.0511795685814276,0.9533418734003258,0.43305647072434067,0.990786848665887
39628414155493283,354.91174747404233,26.656084912702028,18.731178,-3.950566493085608,0.12273198642129779,-190.1316550601405,6.816878521078363,0.9977571234712501,0.9901691524909881,0.999257944542197
2781623317692422,358.0976718544162,28.674526801207723,19.269108,-3.0038295735082934,0.2033691386752083,-201.63326884079402,6.182090449893561,0.4841997855148118,0.11788446718877545,0.7606914290647121
39628478022159688,354.4442791064839,29.781839017321,17.140446,-3.2129914298735467,0.060014287457121736,-187.46027700739967,2.0310047531378452,0.9984350977200531,0.9943246178780244,0.9993374905389466
39627989398324532,353.2540590513333,8.270069636544957,18.427603,-2.624205236665006,0.11894879424208103,-184.5127876010878,4.903086678946476,0.030539546683728297,0.0005309739577799452,0.4140845038301455
2781113772670976,353.48469406996617,6.5556417200426385,19.310322,-3.2917010353636065,0.29088346534332227,-135.01289641649652,9.12184506229857,0.742107869709925,0.19472531176431135,0.9513131953793804
39627953469919406,354.9536352991165,6.861845194122821,18.757708,-2.360992486921109,0.14745755608191632,-147.66605143727867,6.2947587872695046,0.00485172665665835,7.345880112618171e-05,0.15686327394907446
2781101818904580,357.0928744892549,6.098987973540593,19.288296,-2.4980288912792825,0.300924552198997,-164.5976133057583,9.540741514952858,0.14372592104967286,0.04270031369696561,0.3649514348888857
39628264477558456,357.1942420489982,19.964381407735868,18.648186,-2.6017643440113307,0.1608904264630311,-199.2832583596027,5.960394335428259,0.008390519354791404,0.00027238785924527564,0.10433547273392413
39628270106312773,353.8875356081593,20.298565329692213,18.909891,-3.7245370488267637,0.28418939336733484,-200.0157562573854,6.900741128952528,0.9966046715482211,0.9917160630599144,0.9982158204540542
39628264469169748,356.62735074469316,19.939545918969117,17.33714,-3.7244461564749325,0.10115100747690861,-173.3247086276324,2.3473612046587666,0.99395476878581,0.9074565330933428,0.9988523486919022
39628201412005437,354.73878070950826,17.216009289514645,18.433577,-3.562391696656461,0.014388739954122457,-203.95915942394052,3.34026904378544,0.9886061128463626,0.8213488172411552,0.9979113914827915
39628298329785504,353.63832831151893,21.381216456521024,18.726046,-3.626994282720518,0.1268214311892012,-192.27703970261422,3.974463291741012,0.9983142063269944,0.9941572565938676,0.9992088925730285
39628060865071517,352.9910894400006,11.225490301487229,18.263777,-3.637840153360096,0.13397129454114015,-184.1976986111953,4.7855299567693805,0.9971608727788821,0.987366862597488,0.9990308594026621
39627983383694237,351.3102186059386,7.963395286907714,16.116648,-3.2688183526261936,0.020422422363793283,-179.6451569521142,1.0707017808077492,0.9761546459857099,0.010159365282620209,0.9982628186228624
2781344648134667,357.8722032705318,16.268355977623774,19.963367,-2.6796209030858273,0.17013831278568478,-159.2457385731777,9.521181168802972,0.0022660206521677015,0.00027498873988959246,0.012995136572362606
39628102233492203,353.73980544425154,12.891212595773169,17.907331,-3.445089326289481,0.07563829674851455,-178.964642150426,2.4156775579208363,0.9972245538613989,0.9606504510615893,0.9992005751943851
39628031198759863,355.3498958612863,9.986960989295035,18.106844,-3.5392185190919956,0.056612678917036675,-157.10461107761648,4.359483147113404,0.9916207155506801,0.8482574547596793,0.998756021718515
2781179526774786,347.6171113484465,9.171521641199325,19.32248,-2.944868354173484,0.18343710612764885,-158.66865909501584,7.28165188135184,0.054107423033365326,0.0023734010513360077,0.37559944763593617
2780692605829133,353.6123456832717,-11.103256658041921,19.470402,-2.691780298709462,0.12443463514738068,-138.776175142544,6.36544200955743,0.003092769636299779,2.9387491848473654e-05,0.06106271811790867
39627573822490589,347.4647175974604,-9.026917282102593,17.601242,-3.6390362208377045,0.022802564281566642,-129.98646696358685,2.4977581013867356,0.9991307215826928,0.9958884975221637,0.9996751882524394
39627579790984697,347.1817833316357,-8.730305594512327,17.911537,-3.2887712065870423,0.0675459641906134,-133.0504229796965,2.9620480878755164,0.9974578616175329,0.9926228003701615,0.9987039990740045
39627579782597986,346.8048713989376,-8.786288094073523,18.623198,-3.1632801419942056,0.09596018039425828,-137.89363649437166,3.616247863168541,0.9920256949160604,0.9799425369007808,0.9958582629996552
39627585763674530,346.76369779085644,-8.40317167999174,18.40216,-3.4440658819898493,0.12942511938646195,-139.0554908737205,4.643507613782465,0.9982221484187341,0.9957383488054584,0.9990408077918663
39628348564964894,355.4471230711176,23.660995349188482,18.391516,-3.06354603973605,0.16055823639688288,-181.06298009006147,5.503103213339664,0.9827948957431192,0.8892973601016894,0.9937338094521503
2780788194017289,355.71769272350997,-6.98117851862901,19.097067,-2.3592309820235564,0.13681781302930696,-102.00241475485964,7.198005419350052,0.001222339531491307,1.5071506834491055e-05,0.0481440198655047
2780848340336646,355.0956835580299,-4.42713732588224,19.117086,-3.144380193448016,0.1446095905422488,-114.6687903382782,9.27710736718699,0.19895124737276232,0.06271867551847202,0.4597735291228903
39627718127518537,350.2989749847599,-3.0426931756928126,20.317816,-3.589624602230913,0.29918901753236227,-160.85774167643757,8.925640470533084,0.8072188531197618,0.6233500400046706,0.8947461812871856
39627694031242386,352.5649475415732,-3.982836330293739,18.660131,-2.4709026650395516,0.05442051656960195,-126.27178306214839,2.3402220906545517,0.0019493172240276973,2.652248003092103e-06,0.1085881596060683
39628478072490884,357.8832896416386,29.787292102110523,20.29183,-2.9420663297408467,0.10381934363717879,-176.59391091639947,9.240777579194043,0.3960144302994959,0.14304640996759982,0.6438615371017705
39628462230604644,354.7614726674716,29.02911276632872,19.918947,-3.3303396682549256,0.4874622973023457,-183.28745158985274,8.307543248946722,0.7977043524755973,0.6772711524337496,0.8751632279289133
39627917382127179,353.38816077983137,5.293997557853182,20.26946,-2.492912571737283,0.16125294230447915,-166.43774123021853,8.13848947356862,0.0022453962217071207,0.00016875433388485812,0.02239227694782336
39628519667402509,0.3882936946506766,32.00471471005274,20.732172,-2.5141694789132982,0.35760630300320645,-187.1431017867198,9.013520696064155,0.016039546288909884,0.0004275577917510227,0.05673773024312171
39628207212727214,356.46846015209854,17.40228973874022,18.584455,-2.638599428864036,0.06181532648867318,-170.50352663492023,2.35112639394232,0.0081547620260586,6.244387538854237e-05,0.16649588232681722
39627567837218190,346.6547183482772,-9.337948984386637,19.659462,-3.3390563187618603,0.2597091086247887,-138.88283932589044,7.950793552150335,0.9713691548584272,0.9280758394725961,0.9870608334142397
39627603753045282,348.55485620156156,-7.642080257004775,19.922781,-3.3553124640231973,0.13579227447051453,-122.9276876412825,4.765037290563262,0.795521441493378,0.5069029548639511,0.9182398052097706
